plot_ID,date_time,canopy_height_plot,elevation_plot,mat_plot,map_plot,tree_cover_plot,reiner_tree_cover_plot,reserve,site_ID,canopy_height_site,elevation_site,mat_site,map_site,tree_cover_site,reiner_tree_cover_site
WI_S01_P01,2024-02-24T06:24:19.187Z,3.06746673583984,1164,19.4500007629395,583.099975585938,15.3467721939087,5.45484399795532,Willowisp,WI_S01,2.07144222259522,1161.72006835938,19.4500007629395,582.903332519531,12.0724924087524,4.6528263092041
WI_S01_P02,2024-02-24T07:14:06.843Z,0.925631523132324,1162.80407714844,19.4500007629395,583.099975585938,5.67808437347412,3.10436415672302,Willowisp,WI_S01,2.07144222259522,1161.72006835938,19.4500007629395,582.903332519531,12.0724924087524,4.6528263092041
WI_S01_P03,2024-02-24T08:31:19.040001Z,1.98763024806976,1162,19.4500007629395,583.099975585938,9.07554244995117,4.69213342666626,Willowisp,WI_S01,2.07144222259522,1161.72006835938,19.4500007629395,582.903332519531,12.0724924087524,4.6528263092041
WI_S01_P04,2024-02-24T09:50:03.102Z,2.93907499313355,1161.41479492188,19.4500007629395,583.099975585938,18.0420627593994,7.49649477005005,Willowisp,WI_S01,2.07144222259522,1161.72006835938,19.4500007629395,582.903332519531,12.0724924087524,4.6528263092041
WI_S01_P05,2024-02-24T10:36:48.387001Z,1.4374076128006,1158.38146972656,19.4500007629395,582.116760253906,12.2200002670288,2.51629519462585,Willowisp,WI_S01,2.07144222259522,1161.72006835938,19.4500007629395,582.903332519531,12.0724924087524,4.6528263092041
WI_S02_P01,2024-02-24T12:05:00.032Z,5.77900362014771,1158,19.4500007629395,576.5,26.6595821380615,2.27451992034912,Willowisp,WI_S02,5.83987631797791,1162.39001464844,19.45,576.5,30.3018646240234,3.98720483779907
WI_S02_P02,2024-02-24T12:27:29.601Z,2.48705840110779,1159.77001953125,19.4500007629395,576.5,16.6136894226074,4.73321676254273,Willowisp,WI_S02,5.83987631797791,1162.39001464844,19.45,576.5,30.3018646240234,3.98720483779907
WI_S02_P03,2024-02-24T13:33:09.516Z,10.9230394363403,1163.00256347656,19.4499988555908,576.5,52.1715698242188,6.16604328155518,Willowisp,WI_S02,5.83987631797791,1162.39001464844,19.45,576.5,30.3018646240234,3.98720483779907
WI_S02_P04,2024-02-24T14:40:21.716999Z,4.3173189163208,1164.95886230469,19.4500007629395,576.5,24.2479858398438,3.34215259552002,Willowisp,WI_S02,5.83987631797791,1162.39001464844,19.45,576.5,30.3018646240234,3.98720483779907
WI_S02_P05,2024-02-24T15:26:48.529999Z,5.6929612159729,1166.21862792969,19.4499988555908,576.5,31.8164958953857,3.42009162902832,Willowisp,WI_S02,5.83987631797791,1162.39001464844,19.45,576.5,30.3018646240234,3.98720483779907
WI_S03_P01,2024-02-25T06:00:16.968Z,22.5170917510986,1193.09729003906,19.25,559.799987792969,86.4013519287109,0.003744708141312,Willowisp,WI_S03,17.9772756576538,1200.30874023437,19.25,559.799987792969,71.0034736633301,4.81187183591537
WI_S03_P02,2024-02-25T06:38:51.618999Z,11.6977968215942,1200.4658203125,19.25,559.799987792969,69.6268615722656,4.2500114440918,Willowisp,WI_S03,17.9772756576538,1200.30874023437,19.25,559.799987792969,71.0034736633301,4.81187183591537
WI_S03_P03,2024-02-25T07:35:18.033001Z,16.4533348083496,1202.1552734375,19.25,559.799987792969,65.2163848876953,4.12762641906738,Willowisp,WI_S03,17.9772756576538,1200.30874023437,19.25,559.799987792969,71.0034736633301,4.81187183591537
