plot_ID,site_ID,reserve,species_richness_plot,species_richness_site,species_richness_reserve,forb_richness_plot,forb_richness_site,forb_richness_reserve,graminoid_richness_plot,graminoid_richness_site,graminoid_richness_reserve,woody_richness_plot,woody_richness_site,woody_richness_reserve
LA_S02_P02,LA_S02,Lapalala,7,32,88,4,15,52,3,15,28,10,22,40
LA_S02_P03,LA_S02,Lapalala,7,32,88,4,15,52,3,15,28,15,22,40
LA_S02_P05,LA_S02,Lapalala,12,32,88,5,15,52,6,15,28,,22,40
LA_S05_P02,LA_S05,Lapalala,9,29,88,2,12,52,7,14,28,5,9,40
LA_S04_P05,LA_S04,Lapalala,8,36,88,2,18,52,5,13,28,,16,40
LA_S04_P04,LA_S04,Lapalala,11,36,88,4,18,52,7,13,28,6,16,40
JE_S01_P02,JE_S01,Jembisa,13,30,102,7,20,64,6,9,31,3,10,35
JE_S01_P04,JE_S01,Jembisa,11,30,102,7,20,64,4,9,31,5,10,35
JE_S03_P01,JE_S03,Jembisa,10,42,102,7,28,64,3,13,31,12,19,35
JE_S03_P02,JE_S03,Jembisa,18,42,102,11,28,64,6,13,31,11,19,35
JE_S03_P03,JE_S03,Jembisa,20,42,102,11,28,64,8,13,31,9,19,35
